experiment_id,config,checkpoint,mpjpe,mpjpe_1p,mpjpe_2p,mpjpe_3p,mpjpeh,mpjpev,mpjped,count_1p,count_2p,count_3p,latency_ms,fps,peak_memory_allocated_mb,params_m,flops_g,notes,created_at
M0,work_dirs/full_alation_20e/M0/petr_wifi.py,work_dirs/full_alation_20e/M0/latest.pth,172.54014531807093,136.14133127511977,167.9710963431315,192.53739247605307,83.64206662295388,103.61893056826354,86.2643648777162,2586,3184,2054,8.4229,118.7242,155.6,13.1302,,"Linear input + Transformer encoder + PETRHead, no flow",2026-06-09T07:30:20Z
M1,work_dirs/full_alation_20e/M1/petr_wifi.py,work_dirs/full_alation_20e/M1/latest.pth,169.2712984314732,132.59698588407417,163.3227787473094,190.8097511410365,79.29703997417428,99.06165174527533,86.15221502604892,2586,3184,2054,12.039,83.0632,155.86,13.1987,,"Spectral tokenizer + Transformer encoder + PETRHead, no flow",2026-06-09T07:33:22Z
M2,work_dirs/full_alation_20e/M2/petr_wifi_mamba.py,work_dirs/full_alation_20e/M2/latest.pth,174.96070112327823,143.47454919984705,166.64162109125797,196.77165382011336,90.19162137134897,96.44666219211881,82.72988734374005,2586,3184,2054,14.4106,69.3932,151.16,11.9669,,"Spectral tokenizer + Mamba-1 encoder + PETRHead, no flow",2026-06-09T07:36:38Z
M3,work_dirs/full_alation_20e/M3/petr_wifi_mamba2_crossscan_pos_attn.py,work_dirs/full_alation_20e/M3/latest.pth,175.65776763703022,140.11632578112963,169.3579096183106,197.08387352839108,85.55447800224438,99.37298327723833,86.31928538935435,2586,3184,2054,9.8032,102.0072,142.69,10.2921,,"Spectral tokenizer + Mamba2-CSI encoder + PETRHead, no flow",2026-06-09T07:39:58Z
M4,work_dirs/full_alation_20e/M4/wi_tidir_wifi_draft_transformer.py,work_dirs/full_alation_20e/M4/latest.pth,169.7957107300921,126.4793874064989,167.59300039281797,190.25057466105181,79.85770817984661,96.24479925761813,72.45077479402991,2586,3184,2054,5.5295,180.8484,31.61,5.2547,,"Spectral tokenizer + Transformer encoder + WiTiDAR draft head, no flow",2026-06-09T07:42:11Z
M5,work_dirs/full_alation_20e/M5/wi_tidir_wifi_draft_mamba1.py,work_dirs/full_alation_20e/M5/latest.pth,171.05519655906008,127.25756577715244,171.97902735873083,188.48098667098964,76.52611273329988,99.02263164766316,72.55508071526424,2586,3184,2054,8.5644,116.7619,26.8,4.0228,,"Spectral tokenizer + Mamba-1 encoder + WiTiDAR draft head, no flow",2026-06-09T07:44:33Z
M6,work_dirs/full_alation_20e/M6/wi_tidir_wifi_draft_mamba2_csi.py,work_dirs/full_alation_20e/M6/latest.pth,167.57296270035852,125.53217217429885,164.5280509252644,188.36288196101896,76.8571646013535,96.92542957931512,71.05762772520373,2586,3184,2054,4.0376,247.6738,18.41,1.8134,,"Spectral tokenizer + Mamba2-CSI flattened encoder + WiTiDAR draft head, no flow",2026-06-09T07:46:54Z
M7,work_dirs/full_alation_20e/M7/wi_tidir_wifi_transformer.py,work_dirs/full_alation_20e/M7/latest.pth,168.3416024072046,127.12904223377909,162.77484586730074,191.39009092628703,77.94370745527394,94.89804570590987,74.89514260173443,2586,3184,2054,6.8595,145.7829,38.49,7.0587,,Spectral tokenizer + Transformer encoder + WiTiDAR head with rectified flow,2026-06-09T07:49:10Z
M8,work_dirs/full_alation_20e/M8/wi_tidir_wifi.py,work_dirs/full_alation_20e/M8/latest.pth,169.65264982116005,122.25287903581399,165.3972228957181,193.94255016392526,77.10534729453488,97.9259566369275,74.78146803035216,2586,3184,2054,9.1436,109.3661,33.68,5.8268,,Spectral tokenizer + Mamba-1 encoder + WiTiDAR head with rectified flow,2026-06-09T07:51:33Z
M9,work_dirs/full_alation_20e/M9/wi_tidir_wifi_mamba2_flattened.py,work_dirs/full_alation_20e/M9/latest.pth,168.0858819410895,125.95762584565318,161.83181976613088,192.22894234240965,76.05727566029856,97.97480952509436,72.2111930879975,2586,3184,2054,4.8326,206.9299,25.29,3.6175,,Spectral tokenizer + Mamba2-CSI flattened encoder + WiTiDAR head with rectified flow,2026-06-09T07:53:58Z
