experiment_id,latency_ms,fps,params_m,peak_memory_allocated_mb,backbone,petr_encoder,petr_decoder,petr_refine_decoder,witidar_encoder,witidar_decoder_attn
M0,8.4229,118.7242,13.1302,155.6,0.059,2.4299,2.6833,1.8553,,
M1,12.039,83.0632,13.1987,155.86,0.3714,2.4694,2.7249,1.8778,,
M2,14.4106,69.3932,11.9669,151.16,0.3833,3.9163,2.8448,1.9142,,
M3,9.8032,102.0072,10.2921,142.69,0.3797,3.4835,2.8634,1.9256,,
M4,5.5295,180.8484,5.2547,31.61,0.4713,,,,3.174,0.291
M5,8.5644,116.7619,4.0228,26.8,0.7066,,,,6.8438,0.4539
M6,4.0376,247.6738,1.8134,18.41,0.3785,,,,3.103,0.2563
M7,6.8595,145.7829,7.0587,38.49,0.4723,,,,3.0691,0.2849
M8,9.1436,109.3661,5.8268,33.68,0.7028,,,,6.7333,0.4406
M9,4.8326,206.9299,3.6175,25.29,0.3986,,,,3.1259,0.2641
M9_RF2,4.7642,209.8967,3.6175,25.29,1.0554,,,,2.5692,0.3147
T_FW2_20e_RF2,4.7397,210.984,3.6175,25.29,0.639,,,,2.5493,0.235
T_FW2_20e_RF4,5.6363,177.4219,3.6175,25.29,0.4576,,,,2.5735,0.225
