experiment_id,config,checkpoint,mpjpe,mpjpe_1p,mpjpe_2p,mpjpe_3p,mpjpeh,mpjpev,mpjped,count_1p,count_2p,count_3p,latency_ms,fps,peak_memory_allocated_mb,params_m,flops_g,notes,created_at
E_NOFLOW,configs/wifi/wi_tidir_wifi_mamba2_flattened_eval_no_flow.py,work_dirs/full_alation_20e/M9/latest.pth,167.73150311768072,122.87024740497917,163.02638123981916,191.4207961055529,76.50009288280594,97.66693072761926,71.64051791245612,2586,3184,2054,4.163,240.2105,18.41,1.8134,,M9 checkpoint evaluated with flow disabled; isolates draft output after flow-trained checkpoint,2026-06-13T14:03:02Z
E_RF1,configs/wifi/wi_tidir_wifi_mamba2_flattened.py,work_dirs/full_alation_20e/M9/latest.pth,168.0858819410895,125.95762584565318,161.83181976613088,192.22894234240965,76.05727566029856,97.97480952509436,72.2111930879975,2586,3184,2054,4.7506,210.4979,25.29,3.6175,,"M9 checkpoint evaluated with rectified flow, Euler num_steps=1",2026-06-13T14:05:31Z
E_RF2,configs/wifi/wi_tidir_wifi_mamba2_flattened_eval_rf_2step.py,work_dirs/full_alation_20e/M9/latest.pth,165.4828197904982,121.78120431435357,159.33509745430106,190.17627539877688,74.76682786583174,97.34133417791209,69.09669024182804,2586,3184,2054,5.2115,191.8825,25.29,3.6175,,"M9 checkpoint evaluated with rectified flow, Euler num_steps=2",2026-06-13T14:08:12Z
E_RF4,configs/wifi/wi_tidir_wifi_mamba2_flattened_eval_rf_4step.py,work_dirs/full_alation_20e/M9/latest.pth,167.08610319189054,121.60355337884937,160.81756009528385,192.6518215066773,75.2415343076661,98.90347087966856,69.24687627252052,2586,3184,2054,9.0476,110.5263,25.29,3.6175,,"M9 checkpoint evaluated with rectified flow, Euler num_steps=4",2026-06-13T14:10:52Z
E_RF8,configs/wifi/wi_tidir_wifi_mamba2_flattened_eval_rf_8step.py,work_dirs/full_alation_20e/M9/latest.pth,168.9411807229324,122.32151671481151,162.41159472573344,195.25388029371518,76.035198301069,100.3467521644768,69.75911122700877,2586,3184,2054,8.014,124.7819,25.29,3.6175,,"M9 checkpoint evaluated with rectified flow, Euler num_steps=8",2026-06-13T14:13:51Z
T_FW1,work_dirs/m9_flow_step2_ablation/T_FW1/wi_tidir_wifi_mamba2_flattened_flow_w1.py,work_dirs/m9_flow_step2_ablation/T_FW1/latest.pth,221.92077902783538,172.94783113100505,222.75171287335343,241.6144915453531,107.68836506291905,130.57329413177285,95.3628142900207,2586,3184,2054,4.6802,213.6665,25.29,3.6175,,Train M9 flattened with rectified flow loss weight 1.0,2026-06-14T05:03:08Z
T_FW2,work_dirs/m9_flow_step2_ablation/T_FW2/wi_tidir_wifi_mamba2_flattened_flow_w2.py,work_dirs/m9_flow_step2_ablation/T_FW2/latest.pth,196.01075576177567,150.16018246756167,199.61775212192057,211.52523640400787,93.47968245000554,106.122001188525,89.95643852437794,2586,3184,2054,4.4415,225.1503,25.29,3.6175,,Train M9 flattened with rectified flow loss weight 2.0,2026-06-14T06:43:22Z
T_FW5,work_dirs/m9_flow_step2_ablation/T_FW5/wi_tidir_wifi_mamba2_flattened_flow_w5.py,work_dirs/m9_flow_step2_ablation/T_FW5/latest.pth,220.19818658366913,171.73814218023998,223.42410008152527,237.201603927538,110.97960146964306,120.98661121548594,98.0882886107809,2586,3184,2054,4.5197,221.2529,25.29,3.6175,,Train M9 flattened with rectified flow loss weight 5.0,2026-06-14T08:26:05Z
T_N0,work_dirs/m9_flow_step2_ablation/T_N0/wi_tidir_wifi_mamba2_flattened_flow_noise_0.py,work_dirs/m9_flow_step2_ablation/T_N0/latest.pth,225.65214702331633,172.7632445448236,226.76116042999766,246.70188808719743,108.51109183443448,126.60421421856563,104.59105347874114,2586,3184,2054,4.488,222.8186,25.29,3.6175,,Train M9 flattened with flow noise strength 0.0 and loss weight 10.0,2026-06-14T10:06:12Z
T_N005,work_dirs/m9_flow_step2_ablation/T_N005/wi_tidir_wifi_mamba2_flattened_flow_noise_005.py,work_dirs/m9_flow_step2_ablation/T_N005/latest.pth,237.98323228467106,195.63664139690826,234.160405768821,259.705407437006,118.85001739007072,141.4211243716268,98.81744646792627,2586,3184,2054,4.5873,217.9921,25.29,3.6175,,Train M9 flattened with flow noise strength 0.05 and loss weight 10.0,2026-06-14T11:44:52Z
