experiment_id,mpjpe,matched_only_mpjpe,missed_persons,matched_persons,total_gt_persons,miss_rate_pct,miss_penalty_mm,mpjpe_1p,mpjpe_2p,mpjpe_3p,mpjpeh,mpjpev,mpjped,latency_ms,fps,params_m,peak_memory_allocated_mb
E_NOFLOW,167.73150311768072,165.9192098660943,82,15034,15116,0.5424715533209844,500.0,122.87024740497917,163.02638123981916,191.4207961055529,76.50009288280594,97.66693072761926,71.64051791245612,4.163,240.2105,1.8134,18.41
E_RF1,168.0858819410895,166.4086563445152,76,15040,15116,0.5027785128340831,500.0,125.95762584565318,161.83181976613088,192.22894234240965,76.05727566029856,97.97480952509436,72.2111930879975,4.7506,210.4979,3.6175,25.29
E_RF2,165.4828197904982,163.8818335517928,72,15044,15116,0.4763164858428155,500.0,121.78120431435357,159.33509745430106,190.17627539877688,74.76682786583174,97.34133417791209,69.09669024182804,5.2115,191.8825,3.6175,25.29
E_RF4,167.08610319189054,165.3593254321464,78,15038,15116,0.5160095263297169,500.0,121.60355337884937,160.81756009528385,192.6518215066773,75.2415343076661,98.90347087966856,69.24687627252052,9.0476,110.5263,3.6175,25.29
E_RF8,168.9411807229324,167.1354854202372,82,15034,15116,0.5424715533209844,500.0,122.32151671481151,162.41159472573344,195.25388029371518,76.035198301069,100.3467521644768,69.75911122700877,8.014,124.7819,3.6175,25.29
T_FW1,221.92077902783538,217.88956347548722,216,14900,15116,1.4289494575284467,500.0,172.94783113100505,222.75171287335343,241.6144915453531,107.68836506291905,130.57329413177285,95.3628142900207,4.6802,213.6665,3.6175,25.29
T_FW2,196.01075576177567,194.41368518288232,79,15037,15116,0.5226250330775337,500.0,150.16018246756167,199.61775212192057,211.52523640400787,93.47968245000554,106.122001188525,89.95643852437794,4.4415,225.1503,3.6175,25.29
T_FW5,220.19818658366913,216.7503206803337,184,14932,15116,1.2172532415983064,500.0,171.73814218023998,223.42410008152527,237.201603927538,110.97960146964306,120.98661121548594,98.0882886107809,4.5197,221.2529,3.6175,25.29
T_N0,225.65214702331633,222.4945031052228,172,14944,15116,1.1378671606245039,500.0,172.7632445448236,226.76116042999766,246.70188808719743,108.51109183443448,126.60421421856563,104.59105347874114,4.488,222.8186,3.6175,25.29
T_N005,237.98323228467106,233.7560190383899,240,14876,15116,1.587721619476052,500.0,195.63664139690826,234.160405768821,259.705407437006,118.85001739007072,141.4211243716268,98.81744646792627,4.5873,217.9921,3.6175,25.29
