experiment_id,latency_ms,fps,params_m,peak_memory_allocated_mb,backbone,witidar_encoder,witidar_decoder_attn
E_NOFLOW,4.163,240.2105,1.8134,18.41,0.4172,3.1838,0.2753
E_RF1,4.7506,210.4979,3.6175,25.29,0.4107,3.1803,0.2696
E_RF2,5.2115,191.8825,3.6175,25.29,0.3776,3.0714,0.2513
E_RF4,9.0476,110.5263,3.6175,25.29,0.4072,3.1868,0.2693
E_RF8,8.014,124.7819,3.6175,25.29,0.3873,3.151,0.2581
T_FW1,4.6802,213.6665,3.6175,25.29,0.4089,3.1666,0.2719
T_FW2,4.4415,225.1503,3.6175,25.29,0.3683,2.9985,0.2466
T_FW5,4.5197,221.2529,3.6175,25.29,0.3795,3.0353,0.2708
T_N0,4.488,222.8186,3.6175,25.29,0.3813,3.0703,0.2549
T_N005,4.5873,217.9921,3.6175,25.29,0.3964,3.0966,0.2653
