experiment_id,config,checkpoint,mpjpe,mpjpe_1p,mpjpe_2p,mpjpe_3p,mpjpeh,mpjpev,mpjped,count_1p,count_2p,count_3p,latency_ms,fps,peak_memory_allocated_mb,params_m,flops_g,notes,created_at
M1,/root/Person-in-WiFi-3D/work_dirs/old_ver/root/Person-in-WiFi-3D/work_dirs/paper/M1/petr_wifi.py,/root/Person-in-WiFi-3D/work_dirs/old_ver/root/Person-in-WiFi-3D/work_dirs/paper/M1/latest.pth,164.60264587402344,132.7385711669922,168.52639770507812,198.63650512695312,70.65287780761719,93.15030670166016,76.07318878173828,2586,3184,2054,11.6915,85.5321,155.86,13.1987,,old paper M1 checkpoint folder,2026-06-07T07:36:31Z
M1FLAT,/root/Person-in-WiFi-3D/work_dirs/old_ver/root/Person-in-WiFi-3D/work_dirs/paper/M1FLAT/wi_tidir_wifi_mamba1_flatten.py,/root/Person-in-WiFi-3D/work_dirs/old_ver/root/Person-in-WiFi-3D/work_dirs/paper/M1FLAT/latest.pth,170.9513397216797,133.6387939453125,184.60086059570312,196.7678680419922,75.60684967041016,96.95083618164062,74.90801239013672,2586,3184,2054,4.0005,249.971,26.5,4.0737,,old paper M1FLAT checkpoint folder,2026-06-07T07:39:13Z
M1V2,/root/Person-in-WiFi-3D/work_dirs/old_ver/root/Person-in-WiFi-3D/work_dirs/paper/M1V2/wi_tidir_wifi_mamba_v2.py,/root/Person-in-WiFi-3D/work_dirs/old_ver/root/Person-in-WiFi-3D/work_dirs/paper/M1V2/latest.pth,172.9220733642578,139.01202392578125,180.88241577148438,203.27423095703125,77.5107421875,96.53929901123047,76.77947235107422,2586,3184,2054,4.7247,211.6531,153.14,4.0772,,old paper M1V2 checkpoint folder,2026-06-07T07:41:35Z
M2,/root/Person-in-WiFi-3D/work_dirs/old_ver/root/Person-in-WiFi-3D/work_dirs/paper/M2/petr_wifi_mamba.py,/root/Person-in-WiFi-3D/work_dirs/old_ver/root/Person-in-WiFi-3D/work_dirs/paper/M2/latest.pth,169.4083251953125,143.6853485107422,169.3630828857422,201.86375427246094,83.28388977050781,90.54731750488281,74.63530731201172,2586,3184,2054,13.7736,72.6024,151.16,11.9669,,old paper M2 checkpoint folder,2026-06-07T07:44:53Z
M2CSI,/root/Person-in-WiFi-3D/work_dirs/old_ver/root/Person-in-WiFi-3D/work_dirs/paper/M2CSI/wi_tidir_wifi_mamba2_flattened.py,/root/Person-in-WiFi-3D/work_dirs/old_ver/root/Person-in-WiFi-3D/work_dirs/paper/M2CSI/latest.pth,158.2799835205078,125.95763397216797,162.32911682128906,192.6962890625,69.92485809326172,90.9093017578125,67.31627655029297,2586,3184,2054,4.7917,208.6933,25.29,3.6175,,old paper M2CSI checkpoint folder,2026-06-07T07:47:22Z
M2FLAT,/root/Person-in-WiFi-3D/work_dirs/old_ver/root/Person-in-WiFi-3D/work_dirs/paper/M2FLAT/wi_tidir_wifi_mamba2_flatten.py,/root/Person-in-WiFi-3D/work_dirs/old_ver/root/Person-in-WiFi-3D/work_dirs/paper/M2FLAT/latest.pth,161.15980529785156,128.7935028076172,165.4215545654297,195.30238342285156,70.10515594482422,93.32695770263672,69.1635971069336,2586,3184,2054,4.7948,208.5572,25.29,3.6175,,old paper M2FLAT checkpoint folder,2026-06-07T07:49:45Z
M3,/root/Person-in-WiFi-3D/work_dirs/old_ver/root/Person-in-WiFi-3D/work_dirs/paper/M3/wi_tidir_wifi_transformer.py,/root/Person-in-WiFi-3D/work_dirs/old_ver/root/Person-in-WiFi-3D/work_dirs/paper/M3/latest.pth,158.75955200195312,127.12903594970703,163.3157958984375,191.5191650390625,72.65843200683594,88.48615264892578,69.41017150878906,2586,3184,2054,5.959,167.8138,38.49,7.0587,,old paper M3 checkpoint folder,2026-06-07T07:53:35Z
M4,/root/Person-in-WiFi-3D/work_dirs/old_ver/root/Person-in-WiFi-3D/work_dirs/paper/M4/wi_tidir_wifi.py,/root/Person-in-WiFi-3D/work_dirs/old_ver/root/Person-in-WiFi-3D/work_dirs/paper/M4/latest.pth,158.99598693847656,126.55595397949219,164.00917053222656,192.06832885742188,70.8144302368164,91.75672149658203,66.86864471435547,2586,3184,2054,7.5183,133.0084,33.68,5.8268,,old paper M4 checkpoint folder,2026-06-07T07:56:17Z
M5,/root/Person-in-WiFi-3D/work_dirs/old_ver/root/Person-in-WiFi-3D/work_dirs/paper/M5/wi_tidir_wifi.py,/root/Person-in-WiFi-3D/work_dirs/old_ver/root/Person-in-WiFi-3D/work_dirs/paper/M5/latest.pth,158.9618377685547,122.25287628173828,165.92262268066406,194.38711547851562,70.67523956298828,90.34243774414062,68.8260498046875,2586,3184,2054,8.8738,112.6912,33.68,5.8268,,old paper M5 checkpoint folder,2026-06-07T07:58:42Z
M0,/root/Person-in-WiFi-3D/work_dirs/old_ver/root/Person-in-WiFi-3D/work_dirs/paper/M0/petr_wifi.py,/root/Person-in-WiFi-3D/work_dirs/old_ver/root/Person-in-WiFi-3D/work_dirs/paper/M0/latest.pth,169.34332275390625,136.6579132080078,175.16351318359375,201.47213745117188,74.9395980834961,97.12482452392578,74.60968780517578,2586,3184,2054,13.1115,76.2692,155.6,13.1302,,old paper M0 checkpoint folder,2026-06-07T12:39:33Z
