experiment_id,latency_ms,fps,params_m,peak_memory_allocated_mb,backbone,petr_encoder,petr_decoder,petr_refine_decoder,witidar_encoder,witidar_decoder_attn
M0,13.1115,76.2692,13.1302,155.6,0.0791,3.3402,3.702,2.556,,
M1,11.6915,85.5321,13.1987,155.86,0.3815,2.525,2.7984,1.9187,,
M1FLAT,4.0005,249.971,4.0737,26.5,0.3983,,,,1.4338,0.262
M1V2,4.7247,211.6531,4.0772,153.14,0.4452,,,,2.4298,0.2898
M2,13.7736,72.6024,11.9669,151.16,0.3906,3.9693,2.8822,1.9453,,
M2CSI,4.7917,208.6933,3.6175,25.29,0.3978,,,,3.1204,0.2658
M2FLAT,4.7948,208.5572,3.6175,25.29,0.4034,,,,3.1865,0.2848
M3,5.959,167.8138,7.0587,38.49,0.5217,,,,3.4795,0.3252
M4,7.5183,133.0084,5.8268,33.68,0.3861,,,,3.9364,0.2505
M5,8.8738,112.6912,5.8268,33.68,0.5072,,,,5.226,0.3313
