experiment_id,config,checkpoint,mpjpe,mpjpe_1p,mpjpe_2p,mpjpe_3p,mpjpeh,mpjpev,mpjped,count_1p,count_2p,count_3p,latency_ms,fps,peak_memory_allocated_mb,params_m,flops_g,notes,created_at
M1FCT,work_dirs/wimamba_backbone_ablation_witidar_v2/M1FCT/wi_tidir_wifi.py,work_dirs/wimamba_backbone_ablation_witidar_v2/M1FCT/latest.pth,290.6794738769531,262.44537353515625,307.26934814453125,300.5085144042969,160.92076110839844,150.81390380859375,112.47203063964844,2586,3184,2054,8.0303,124.5289,33.68,5.8268,,Mamba1 current factorized: temporal Mamba + bidirectional spatial Mamba,2026-06-03T13:00:07Z
M1V2,work_dirs/wimamba_backbone_ablation_witidar_v2/M1V2/wi_tidir_wifi_mamba_v2.py,work_dirs/wimamba_backbone_ablation_witidar_v2/M1V2/latest.pth,270.78936767578125,241.4101104736328,292.4141540527344,274.2561950683594,132.64776611328125,143.7413787841797,117.16326141357422,2586,3184,2054,5.5154,181.309,153.14,4.0772,,Mamba1 fast factorized: temporal Mamba + Conv1d antenna mixer,2026-06-03T13:24:25Z
M1V3,work_dirs/wimamba_backbone_ablation_witidar_v2/M1V3/wi_tidir_wifi_mamba_v3.py,work_dirs/wimamba_backbone_ablation_witidar_v2/M1V3/latest.pth,284.9018859863281,272.986083984375,289.4504699707031,292.8545227050781,148.85174560546875,147.4622802734375,121.11585998535156,2586,3184,2054,4.8103,207.8853,27.01,4.0752,,Mamba1 fast factorized: temporal Mamba + Linear antenna mixer,2026-06-03T13:52:23Z
M1FLAT,work_dirs/wimamba_backbone_ablation_witidar_v2/M1FLAT/wi_tidir_wifi_mamba1_flatten.py,work_dirs/wimamba_backbone_ablation_witidar_v2/M1FLAT/latest.pth,286.7951354980469,251.48446655273438,311.73406982421875,292.59210205078125,128.96011352539062,170.83816528320312,116.6624984741211,2586,3184,2054,4.0326,247.979,26.5,4.0737,,Mamba1 flattened single-route L=180 scan,2026-06-03T14:15:19Z
M2FLAT,work_dirs/wimamba_backbone_ablation_witidar_v2/M2FLAT/wi_tidir_wifi_mamba2_flatten.py,work_dirs/wimamba_backbone_ablation_witidar_v2/M2FLAT/latest.pth,265.1460876464844,242.62461853027344,276.4488525390625,275.9801025390625,140.49293518066406,125.2005844116211,122.2608642578125,2586,3184,2054,4.6593,214.6247,25.29,3.6175,,Mamba2 flattened single-route L=180 wrapper,2026-06-03T14:40:49Z
M2D,work_dirs/wimamba_backbone_ablation_witidar_v2/M2D/wi_tidir_wifi_mamba2_dropin.py,work_dirs/wimamba_backbone_ablation_witidar_v2/M2D/latest.pth,283.8961181640625,252.17120361328125,298.3684387207031,301.40277099609375,130.23338317871094,151.05047607421875,135.342041015625,2586,3184,2054,12.1303,82.4384,51.67,7.5059,,Mamba2 drop-in factorized: temporal + bidirectional spatial scan,2026-06-03T15:44:26Z
M2CSI,work_dirs/wimamba_backbone_ablation_witidar_v2/M2CSI/wi_tidir_wifi_mamba2_flattened.py,work_dirs/wimamba_backbone_ablation_witidar_v2/M2CSI/latest.pth,266.8155822753906,240.5826873779297,279.256103515625,280.55633544921875,128.40179443359375,145.0980224609375,118.63066101074219,2586,3184,2054,4.6272,216.1157,25.29,3.6175,,Mamba2 CSI flattened single-route via WiMamba2CSIEncoder,2026-06-03T16:05:56Z
M2C,work_dirs/wimamba_backbone_ablation_witidar_v2/M2C/wi_tidir_wifi_mamba2_crossscan.py,work_dirs/wimamba_backbone_ablation_witidar_v2/M2C/latest.pth,281.07318115234375,251.41526794433594,304.0102844238281,282.8568115234375,126.7380599975586,156.35801696777344,127.74507141113281,2586,3184,2054,4.8954,204.2726,28.09,3.6175,,Mamba2 CSI two-route cross-scan,2026-06-03T16:33:25Z
M2CP,work_dirs/wimamba_backbone_ablation_witidar_v2/M2CP/wi_tidir_wifi_mamba2_crossscan_pos.py,work_dirs/wimamba_backbone_ablation_witidar_v2/M2CP/latest.pth,284.3011169433594,256.8671569824219,299.08184814453125,295.9278869628906,145.01327514648438,150.755126953125,116.6732177734375,2586,3184,2054,6.7872,147.3368,28.29,3.6249,,Mamba2 CSI two-route cross-scan + CSI positional embedding,2026-06-03T16:55:22Z
M2CPA,work_dirs/wimamba_backbone_ablation_witidar_v2/M2CPA/wi_tidir_wifi_mamba2_crossscan_pos_attn.py,work_dirs/wimamba_backbone_ablation_witidar_v2/M2CPA/latest.pth,294.7079162597656,270.87664794921875,306.95050048828125,305.73333740234375,146.7419891357422,146.16368103027344,143.9203643798828,2586,3184,2054,5.0363,198.558,30.3,4.152,,Mamba2 CSI cross-scan + CSI positional embedding + final attention,2026-06-03T17:18:06Z
M3,work_dirs/wimamba_backbone_ablation_witidar_v2/M3/wi_tidir_wifi_transformer.py,work_dirs/wimamba_backbone_ablation_witidar_v2/M3/latest.pth,299.1506652832031,270.8023376464844,323.2176513671875,297.534912109375,146.16488647460938,170.9661865234375,120.785888671875,2586,3184,2054,6.1569,162.4201,38.49,7.0587,,M3 spectral input adapter + WiTiDARHead + Transformer encoder baseline,2026-06-03T17:43:01Z
